Source,Target
恶心,浮肿
恶心,汗出
恶心,自汗
恶心,鼻衄
恶心,头痛
恶心,恶寒
恶心,发热
恶心,皮肤瘙痒
恶心,鼻鸣
浮肿,汗出
浮肿,自汗
浮肿,鼻衄
浮肿,头痛
浮肿,恶寒
浮肿,发热
浮肿,皮肤瘙痒
浮肿,鼻鸣
汗出,自汗
汗出,鼻衄
汗出,头痛
汗出,恶寒
汗出,发热
汗出,皮肤瘙痒
汗出,鼻鸣
自汗,鼻衄
自汗,头痛
自汗,恶寒
自汗,发热
自汗,皮肤瘙痒
自汗,鼻鸣
鼻衄,头痛
鼻衄,恶寒
鼻衄,发热
鼻衄,皮肤瘙痒
鼻衄,鼻鸣
头痛,恶寒
头痛,发热
头痛,皮肤瘙痒
头痛,鼻鸣
恶寒,发热
恶寒,皮肤瘙痒
恶寒,鼻鸣
发热,皮肤瘙痒
发热,鼻鸣
皮肤瘙痒,鼻鸣
烦渴,昏迷
烦渴,恶寒
烦渴,尿黄
烦渴,语声洪亮
烦渴,气喘
烦渴,尿短
烦渴,发热
烦渴,便秘
烦渴,意识障碍
烦渴,饮冷
昏迷,恶寒
昏迷,尿黄
昏迷,语声洪亮
昏迷,气喘
昏迷,尿短
昏迷,发热
昏迷,便秘
昏迷,意识障碍
昏迷,饮冷
恶寒,尿黄
恶寒,语声洪亮
恶寒,气喘
恶寒,尿短
恶寒,便秘
恶寒,意识障碍
恶寒,饮冷
尿黄,语声洪亮
尿黄,气喘
尿黄,尿短
尿黄,发热
尿黄,便秘
尿黄,意识障碍
尿黄,饮冷
语声洪亮,气喘
语声洪亮,尿短
语声洪亮,发热
语声洪亮,便秘
语声洪亮,意识障碍
语声洪亮,饮冷
气喘,尿短
气喘,发热
气喘,便秘
气喘,意识障碍
气喘,饮冷
尿短,发热
尿短,便秘
尿短,意识障碍
尿短,饮冷
发热,便秘
发热,意识障碍
发热,饮冷
便秘,意识障碍
便秘,饮冷
意识障碍,饮冷
瘫痪,肢体麻木
瘫痪,半身不遂
瘫痪,无汗
瘫痪,头痛
瘫痪,恶寒
瘫痪,肢体痛
瘫痪,感觉异常
肢体麻木,半身不遂
肢体麻木,无汗
肢体麻木,头痛
肢体麻木,恶寒
肢体麻木,肢体痛
肢体麻木,感觉异常
半身不遂,无汗
半身不遂,头痛
半身不遂,恶寒
半身不遂,肢体痛
半身不遂,感觉异常
无汗,头痛
无汗,恶寒
无汗,肢体痛
无汗,感觉异常
头痛,肢体痛
头痛,感觉异常
恶寒,肢体痛
恶寒,感觉异常
肢体痛,感觉异常
口疮,欲饮
口疮,口渴
口疮,尿黄
口疮,便秘
口疮,腹胀
口疮,月经过多
口疮,口臭
欲饮,口渴
欲饮,尿黄
欲饮,便秘
欲饮,腹胀
欲饮,月经过多
欲饮,口臭
口渴,尿黄
口渴,便秘
口渴,腹胀
口渴,月经过多
口渴,口臭
尿黄,腹胀
尿黄,月经过多
尿黄,口臭
便秘,腹胀
便秘,月经过多
便秘,口臭
腹胀,月经过多
腹胀,口臭
月经过多,口臭
口疮,咽干
口疮,不寐
口疮,尿少
口疮,发热
口疮,月经过少
咽干,不寐
咽干,尿少
咽干,口渴
咽干,尿黄
咽干,发热
咽干,月经过少
不寐,尿少
不寐,口渴
不寐,尿黄
不寐,发热
不寐,月经过少
尿少,口渴
尿少,尿黄
尿少,发热
尿少,月经过少
口渴,发热
口渴,月经过少
尿黄,月经过少
发热,月经过少
月经错后,皮肤瘙痒
月经错后,皮肤干燥
月经错后,面色不荣
皮肤瘙痒,皮肤干燥
皮肤瘙痒,面色不荣
皮肤干燥,面色不荣
月经先期,喜冷
月经先期,口渴
月经先期,尿黄
月经先期,便秘
月经先期,皮肤瘙痒
喜冷,口渴
喜冷,尿黄
喜冷,便秘
喜冷,皮肤瘙痒
口渴,皮肤瘙痒
尿黄,皮肤瘙痒
便秘,皮肤瘙痒
皮肤瘙痒,腹痛
皮肤瘙痒,经行不畅
腹痛,经行不畅
皮疹,月经错后
皮疹,面色不荣
皮疹,月经过少
皮疹,皮肤瘙痒
皮疹,皮肤干燥
月经错后,月经过少
面色不荣,月经过少
月经过少,皮肤瘙痒
月经过少,皮肤干燥
月经先期,皮疹
月经先期,喜饮
月经先期,皮肤瘢痕
皮疹,喜饮
皮疹,口渴
皮疹,尿黄
