gene,degree,diversity
ARF5,123,59.151162986209506
SPTBN2,162,75.14159243331888
KIF13B,80,35.97145438206811
AP1B1,104,63.9305882947525
KIF21A,83,39.03489220665247
TMED7,158,56.56824803006529
ARFGAP1,135,68.72490998547755
ANK2,119,62.386373323292645
KLC1,132,56.86309019712894
COPZ2,157,55.71216628608888
KIF15,208,85.5342608843273
DCTN5,151,71.46012579291558
KIF2B,206,74.92153708620474
KIF16B,76,32.387965713337294
KIF25,78,34.15958709670529
KDELR2,152,61.02565136929075
RAB1B,257,74.37849811853496
TMED10,204,76.56332647562141
KIF3B,150,52.815755114003466
RACGAP1,215,103.15073874128036
SPTBN4,111,54.68667522299982
GBF1,122,58.018100820768026
DYNC1I2,346,112.70805630612657
INS,480,323.42647910405486
CYTH3,21,17.491199569503088
CAPZB,175,86.24680224061716
RAB11FIP3,32,20.82461074981106
ACAP2,3,2.8818466353677623
KIF3C,147,49.61472028411806
DYNC1LI1,261,102.18849851107174
KIFAP3,151,53.80913319006611
COPA,184,76.74955117722257
YKT6,182,75.19865506790943
COPB1,241,98.49264838978664
IQSEC1,12,11.84169206960054
KIF20A,227,88.57184830113847
SURF4,158,75.89365368557803
GGA1,34,29.53031466215689
CDC5L,602,364.747715208079
DYNC1I1,260,105.73613886758396
RAB1A,263,80.31580062039559
ACTR1A,258,88.41488478962762
CAPZA2,156,75.85801991532858
CAPZA1,170,82.42087154255519
CD59,252,89.06299369599526
SPTBN5,111,54.78933543682913
FOLR1,132,55.966990740806054
USO1,133,60.07873902428021
CENPE,273,94.48137551728499
KIFC1,133,73.2978952078116
KIF9,88,39.5653277022177
KIF4A,217,91.73522017084392
KIF27,80,35.90005357945566
ARF1,228,125.2925541111104
ARF3,126,61.18760039873282
KLC2,129,55.139247308620014
KIF21B,78,34.36199168736327
DCTN4,143,65.02517884335732
KIF6,77,33.37480781860046
KIF18B,109,55.28824716105611
KIF1A,87,42.13303081500119
KIF26A,113,43.000431568899465
KIF5A,133,59.242407042086995
TMED3,159,56.90229653576294
ACTR10,225,86.31040037503882
KIF20B,106,54.66744460905702
DYNC1LI2,260,105.81871596024834
ARFIP2,14,13.777460954408301
TMED9,139,51.219755262631644
ANK1,119,63.07393073695776
ARF4,126,60.37665131752244
ASAP2,21,18.968163367574185
CD55,95,53.03242796621998
SPTAN1,219,102.43274008865944
RAB11A,226,96.47089809106073
KIF4B,141,64.19146949845621
KIF18A,230,84.197307674867
KLC3,123,51.144003516971466
DCTN3,254,84.57221866724134
KIF19,76,32.387965713337294
KIF23,218,91.94956688377125
BET1,144,63.289439494929866
KDELR1,163,71.47798870850394
ANK3,112,56.442450810792614
DYNC1H1,459,143.33946925363904
SPTBN1,124,67.55650373426467
KIF5B,148,70.36356662088994
COPB2,165,62.46670022299583
DCTN6,156,72.97930572399623
ASAP1,39,28.373968446933432
DCTN2,292,107.6659932577747
KIF11,278,116.67424950530535
TMED2,187,62.63153777197628
CYTH1,16,13.442389260286978
KIF2C,296,102.35208164972158
ARCN1,161,58.62592474613506
KIF1C,79,35.34950417487576
DYNLL2,312,122.74658576133622
KIF1B,78,34.36199168736328
SPTB,112,55.97441338896871
COPG2,163,59.99534221719811
KIFC2,77,33.172574109692306
COPG1,166,62.87540216915756
ARFIP1,15,13.326841628763663
KIF26B,79,35.24502388813741
CAPZA3,140,62.75108383018778
ACAP1,14,11.772161429145811
RAB11FIP4,14,11.406762415860953
DYNLL1,481,159.86742626018597
ARFGAP2,113,50.83215178638475
KIF2A,219,83.86330820368583
KIF22,158,71.60243910915676
KIF12,76,32.387965713337294
SEC22B,179,72.81380320856685
KLC4,120,48.168593680905914
ARFGAP3,114,51.90228761408492
ETFA,34,29.15446077486926
KDELR3,147,57.13908674888011
SPTA1,114,58.25948121127842
AP1G1,112,62.25359042115099
KIF3A,158,59.49686442853963
COPZ1,160,58.39427667936802
